index,zinnen,woorden
10,"ingeval toepassing wordt gegeven aan het vijfde lid, wordt waar in de bepalingen, genoemd in dat lid, sprake is van een provinciale verordening in plaats daarvan gelezen: ministeriële regeling.","['ingeval', ' ', 'toepassing', ' ', 'wordt', ' ', 'gegeven', ' ', 'aan', ' ', 'het', ' ', 'vijfde', ' ', 'lid', ', ', 'wordt', ' ', 'waar', ' ', 'in', ' ', 'de', ' ', 'bepalingen', ', ', 'genoemd', ' ', 'in', ' ', 'dat', ' ', 'lid', ', ', 'sprake', ' ', 'is', ' ', 'van', ' ', 'een', ' ', 'provinciale', ' ', 'verordening', ' ', 'in', ' ', 'plaats', ' ', 'daarvan', ' ', 'gelezen', ': ', 'ministeriële', ' ', 'regeling', '.']"
11,"provinciale staten kunnen bevoegdheden, aan hen toegekend bij of krachtens deze wet, overdragen aan gedeputeerde staten.","['provinciale', ' ', 'staten', ' ', 'kunnen', ' ', 'bevoegdheden', ', ', 'aan', ' ', 'hen', ' ', 'toegekend', ' ', 'bij', ' ', 'of', ' ', 'krachtens', ' ', 'deze', ' ', 'wet', ', ', 'overdragen', ' ', 'aan', ' ', 'gedeputeerde', ' ', 'staten', '.']"
12,onze minister stelt een nationale natuurvisie vast.,"['onze', ' ', 'minister', ' ', 'stelt', ' ', 'een', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'vast', '.']"
13,"de nationale natuurvisie bevat de hoofdlijnen van het te voeren rijksbeleid gericht op het behoud en het zo mogelijk versterken van de biologische diversiteit, het duurzame gebruik van de bestanddelen daarvan en de bescherming van waardevolle landschappen, in nationaal en internationaal verband, en het behoud en het zo mogelijk versterken van de recreatieve, de educatieve en de belevingswaarde van natuur en landschap, in samenhang met het beleid om te komen tot een verduurzaming van de economie.","['de', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'bevat', ' ', 'de', ' ', 'hoofdlijnen', ' ', 'van', ' ', 'het', ' ', 'te', ' ', 'voeren', ' ', 'rijksbeleid', ' ', 'gericht', ' ', 'op', ' ', 'het', ' ', 'behoud', ' ', 'en', ' ', 'het', ' ', 'zo', ' ', 'mogelijk', ' ', 'versterken', ' ', 'van', ' ', 'de', ' ', 'biologische', ' ', 'diversiteit', ', ', 'het', ' ', 'duurzame', ' ', 'gebruik', ' ', 'van', ' ', 'de', ' ', 'bestanddelen', ' ', 'daarvan', ' ', 'en', ' ', 'de', ' ', 'bescherming', ' ', 'van', ' ', 'waardevolle', ' ', 'landschappen', ', ', 'in', ' ', 'nationaal', ' ', 'en', ' ', 'internationaal', ' ', 'verband', ', ', 'en', ' ', 'het', ' ', 'behoud', ' ', 'en', ' ', 'het', ' ', 'zo', ' ', 'mogelijk', ' ', 'versterken', ' ', 'van', ' ', 'de', ' ', 'recreatieve', ', ', 'de', ' ', 'educatieve', ' ', 'en', ' ', 'de', ' ', 'belevingswaarde', ' ', 'van', ' ', 'natuur', ' ', 'en', ' ', 'landschap', ', ', 'in', ' ', 'samenhang', ' ', 'met', ' ', 'het', ' ', 'beleid', ' ', 'om', ' ', 'te', ' ', 'komen', ' ', 'tot', ' ', 'een', ' ', 'verduurzaming', ' ', 'van', ' ', 'de', ' ', 'economie', '.']"
14,de nationale natuurvisie besteedt daarbij in het bijzonder aandacht aan:,"['de', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'besteedt', ' ', 'daarbij', ' ', 'in', ' ', 'het', ' ', 'bijzonder', ' ', 'aandacht', ' ', 'aan', ':']"
15,"de nationale natuurvisie biedt, in de vorm van rode lijsten, inzicht in de met uitroeiing bedreigde of speciaal gevaar lopende dier- en plantensoorten die van nature in nederland voorkomen.","['de', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'biedt', ', ', 'in', ' ', 'de', ' ', 'vorm', ' ', 'van', ' ', 'rode', ' ', 'lijsten', ', ', 'inzicht', ' ', 'in', ' ', 'de', ' ', 'met', ' ', 'uitroeiing', ' ', 'bedreigde', ' ', 'of', ' ', 'speciaal', ' ', 'gevaar', ' ', 'lopende', ' ', 'dier', '- ', 'en', ' ', 'plantensoorten', ' ', 'die', ' ', 'van', ' ', 'nature', ' ', 'in', ' ', 'nederland', ' ', 'voorkomen', '.']"
16,de nationale natuurvisie bevat voor zover mogelijk een kwantificering van de instandhoudingsdoelstellingen voor de in natura 2000-gebieden en bijzondere nationale natuurgebieden te beschermen habitats en soorten en verschaft in samenhang daarmee en in samenhang met de staat van instandhouding van deze habitats en soorten inzicht in voorgenomen wijzigingen van de besluiten tot aanwijzing van die natura 2000-gebieden en bijzondere nationale natuurgebieden.,"['de', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'bevat', ' ', 'voor', ' ', 'zover', ' ', 'mogelijk', ' ', 'een', ' ', 'kwantificering', ' ', 'van', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ' ', 'voor', ' ', 'de', ' ', 'in', ' ', 'natura', ' ', '2000', '-', 'gebieden', ' ', 'en', ' ', 'bijzondere', ' ', 'nationale', ' ', 'natuurgebieden', ' ', 'te', ' ', 'beschermen', ' ', 'habitats', ' ', 'en', ' ', 'soorten', ' ', 'en', ' ', 'verschaft', ' ', 'in', ' ', 'samenhang', ' ', 'daarmee', ' ', 'en', ' ', 'in', ' ', 'samenhang', ' ', 'met', ' ', 'de', ' ', 'staat', ' ', 'van', ' ', 'instandhouding', ' ', 'van', ' ', 'deze', ' ', 'habitats', ' ', 'en', ' ', 'soorten', ' ', 'inzicht', ' ', 'in', ' ', 'voorgenomen', ' ', 'wijzigingen', ' ', 'van', ' ', 'de', ' ', 'besluiten', ' ', 'tot', ' ', 'aanwijzing', ' ', 'van', ' ', 'die', ' ', 'natura', ' ', '2000', '-', 'gebieden', ' ', 'en', ' ', 'bijzondere', ' ', 'nationale', ' ', 'natuurgebieden', '.']"
17,"onderdelen van het rijksbeleid, bedoeld in het tweede lid, kunnen worden opgenomen in een andere rijksvisie.","['onderdelen', ' ', 'van', ' ', 'het', ' ', 'rijksbeleid', ', ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'tweede', ' ', 'lid', ', ', 'kunnen', ' ', 'worden', ' ', 'opgenomen', ' ', 'in', ' ', 'een', ' ', 'andere', ' ', 'rijksvisie', '.']"
18,onze minister draagt zorg voor actualisatie van de nationale natuurvisie en stelt zonodig een nieuwe visie of wijzigingen van onderdelen van de visie vast.,"['onze', ' ', 'minister', ' ', 'draagt', ' ', 'zorg', ' ', 'voor', ' ', 'actualisatie', ' ', 'van', ' ', 'de', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'en', ' ', 'stelt', ' ', 'zonodig', ' ', 'een', ' ', 'nieuwe', ' ', 'visie', ' ', 'of', ' ', 'wijzigingen', ' ', 'van', ' ', 'onderdelen', ' ', 'van', ' ', 'de', ' ', 'visie', ' ', 'vast', '.']"
19,op de voorbereiding van de natuurvisie en wijzigingen daarvan is ,"['op', ' ', 'de', ' ', 'voorbereiding', ' ', 'van', ' ', 'de', ' ', 'natuurvisie', ' ', 'en', ' ', 'wijzigingen', ' ', 'daarvan', ' ', 'is', ' ']"
20,onze minister zendt de vastgestelde nationale natuurvisie en vastgestelde wijzigingen van de visie aan de staten-generaal en maakt de visie en wijzigingen bekend in de staatscourant.,"['onze', ' ', 'minister', ' ', 'zendt', ' ', 'de', ' ', 'vastgestelde', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'en', ' ', 'vastgestelde', ' ', 'wijzigingen', ' ', 'van', ' ', 'de', ' ', 'visie', ' ', 'aan', ' ', 'de', ' ', 'staten', '-', 'generaal', ' ', 'en', ' ', 'maakt', ' ', 'de', ' ', 'visie', ' ', 'en', ' ', 'wijzigingen', ' ', 'bekend', ' ', 'in', ' ', 'de', ' ', 'staatscourant', '.']"
21,"onze minister stelt de nationale natuurvisie en wijzigingen daarvan vast in overeenstemming met onze minister van infrastructuur en milieu, onderscheidenlijk onze minister van onderwijs, cultuur en wetenschappen, voor zover deze betrekking hebben op aangelegenheden die tot hun verantwoordelijkheid behoren.","['onze', ' ', 'minister', ' ', 'stelt', ' ', 'de', ' ', 'nationale', ' ', 'natuurvisie', ' ', 'en', ' ', 'wijzigingen', ' ', 'daarvan', ' ', 'vast', ' ', 'in', ' ', 'overeenstemming', ' ', 'met', ' ', 'onze', ' ', 'minister', ' ', 'van', ' ', 'infrastructuur', ' ', 'en', ' ', 'milieu', ', ', 'onderscheidenlijk', ' ', 'onze', ' ', 'minister', ' ', 'van', ' ', 'onderwijs', ', ', 'cultuur', ' ', 'en', ' ', 'wetenschappen', ', ', 'voor', ' ', 'zover', ' ', 'deze', ' ', 'betrekking', ' ', 'hebben', ' ', 'op', ' ', 'aangelegenheden', ' ', 'die', ' ', 'tot', ' ', 'hun', ' ', 'verantwoordelijkheid', ' ', 'behoren', '.']"
22,provinciale staten stellen een provinciale natuurvisie vast.,"['provinciale', ' ', 'staten', ' ', 'stellen', ' ', 'een', ' ', 'provinciale', ' ', 'natuurvisie', ' ', 'vast', '.']"
23,een provinciale natuurvisie bevat de hoofdlijnen van:,"['een', ' ', 'provinciale', ' ', 'natuurvisie', ' ', 'bevat', ' ', 'de', ' ', 'hoofdlijnen', ' ', 'van', ':']"
24,"een provinciale natuurvisie besteedt in het bijzonder aandacht aan de integratie van het in het tweede lid bedoelde provinciale beleid met het provinciale algemene economisch beleid, ruimtelijke beleid, milieubeleid, waterbeleid en cultuurbeleid, en aan de samenhang tussen het in het tweede lid bedoelde beleid en het beleid en de verantwoordelijkheden van andere overheden op dat terrein.","['een', ' ', 'provinciale', ' ', 'natuurvisie', ' ', 'besteedt', ' ', 'in', ' ', 'het', ' ', 'bijzonder', ' ', 'aandacht', ' ', 'aan', ' ', 'de', ' ', 'integratie', ' ', 'van', ' ', 'het', ' ', 'in', ' ', 'het', ' ', 'tweede', ' ', 'lid', ' ', 'bedoelde', ' ', 'provinciale', ' ', 'beleid', ' ', 'met', ' ', 'het', ' ', 'provinciale', ' ', 'algemene', ' ', 'economisch', ' ', 'beleid', ', ', 'ruimtelijke', ' ', 'beleid', ', ', 'milieubeleid', ', ', 'waterbeleid', ' ', 'en', ' ', 'cultuurbeleid', ', ', 'en', ' ', 'aan', ' ', 'de', ' ', 'samenhang', ' ', 'tussen', ' ', 'het', ' ', 'in', ' ', 'het', ' ', 'tweede', ' ', 'lid', ' ', 'bedoelde', ' ', 'beleid', ' ', 'en', ' ', 'het', ' ', 'beleid', ' ', 'en', ' ', 'de', ' ', 'verantwoordelijkheden', ' ', 'van', ' ', 'andere', ' ', 'overheden', ' ', 'op', ' ', 'dat', ' ', 'terrein', '.']"
25,"onderdelen van het provinciale beleid, bedoeld in het tweede lid, kunnen worden opgenomen in een andere provinciale visie.","['onderdelen', ' ', 'van', ' ', 'het', ' ', 'provinciale', ' ', 'beleid', ', ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'tweede', ' ', 'lid', ', ', 'kunnen', ' ', 'worden', ' ', 'opgenomen', ' ', 'in', ' ', 'een', ' ', 'andere', ' ', 'provinciale', ' ', 'visie', '.']"
26,"
      ",['\n      ']
27,provinciale staten dragen zorg voor publicatie van de provinciale natuurvisie.,"['provinciale', ' ', 'staten', ' ', 'dragen', ' ', 'zorg', ' ', 'voor', ' ', 'publicatie', ' ', 'van', ' ', 'de', ' ', 'provinciale', ' ', 'natuurvisie', '.']"
28,"onze minister ziet toe op de staat van instandhouding van de natuurlijke habitats, de habitats van soorten en de dier- en plantensoorten, genoemd in onderscheidenlijk de bijlagen i, ii, iv en v bij de habitatrichtlijn, en van de vogelsoorten, genoemd in bijlage i bij de vogelrichtlijn, en de niet in die bijlage genoemde geregeld voorkomende trekvogelsoorten.","['onze', ' ', 'minister', ' ', 'ziet', ' ', 'toe', ' ', 'op', ' ', 'de', ' ', 'staat', ' ', 'van', ' ', 'instandhouding', ' ', 'van', ' ', 'de', ' ', 'natuurlijke', ' ', 'habitats', ', ', 'de', ' ', 'habitats', ' ', 'van', ' ', 'soorten', ' ', 'en', ' ', 'de', ' ', 'dier', '- ', 'en', ' ', 'plantensoorten', ', ', 'genoemd', ' ', 'in', ' ', 'onderscheidenlijk', ' ', 'de', ' ', 'bijlagen', ' ', 'i', ', ', 'ii', ', ', 'iv', ' ', 'en', ' ', 'v', ' ', 'bij', ' ', 'de', ' ', 'habitatrichtlijn', ', ', 'en', ' ', 'van', ' ', 'de', ' ', 'vogelsoorten', ', ', 'genoemd', ' ', 'in', ' ', 'bijlage', ' ', 'i', ' ', 'bij', ' ', 'de', ' ', 'vogelrichtlijn', ', ', 'en', ' ', 'de', ' ', 'niet', ' ', 'in', ' ', 'die', ' ', 'bijlage', ' ', 'genoemde', ' ', 'geregeld', ' ', 'voorkomende', ' ', 'trekvogelsoorten', '.']"
29,"onze minister bevordert het onderzoek en wetenschappelijk werk, bedoeld in artikel 10, eerste lid, van de vogelrichtlijn en artikel 18, eerste lid, van de habitatrichtlijn.","['onze', ' ', 'minister', ' ', 'bevordert', ' ', 'het', ' ', 'onderzoek', ' ', 'en', ' ', 'wetenschappelijk', ' ', 'werk', ', ', 'bedoeld', ' ', 'in', ' ', 'artikel', '\xa0', '10', ', ', 'eerste', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'vogelrichtlijn', ' ', 'en', ' ', 'artikel', '\xa0', '18', ', ', 'eerste', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'habitatrichtlijn', '.']"
30,"onze minister draagt zorg voor de verstrekking van gegevens aan de europese commissie overeenkomstig de vereisten van de vogelrichtlijn en de habitatrichtlijn. voor zover het gaat om gegevens die betrekking hebben op door gedeputeerde staten of provinciale staten genomen besluiten of getroffen maatregelen, of om gegevens die betrekking hebben op de staat van instandhouding van de in het eerste lid bedoelde habitats en soorten in hun provincie, verstrekken gedeputeerde staten van de desbetreffende provincie deze aan onze minister.","['onze', ' ', 'minister', ' ', 'draagt', ' ', 'zorg', ' ', 'voor', ' ', 'de', ' ', 'verstrekking', ' ', 'van', ' ', 'gegevens', ' ', 'aan', ' ', 'de', ' ', 'europese', ' ', 'commissie', ' ', 'overeenkomstig', ' ', 'de', ' ', 'vereisten', ' ', 'van', ' ', 'de', ' ', 'vogelrichtlijn', ' ', 'en', ' ', 'de', ' ', 'habitatrichtlijn', '. ', 'voor', ' ', 'zover', ' ', 'het', ' ', 'gaat', ' ', 'om', ' ', 'gegevens', ' ', 'die', ' ', 'betrekking', ' ', 'hebben', ' ', 'op', ' ', 'door', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'of', ' ', 'provinciale', ' ', 'staten', ' ', 'genomen', ' ', 'besluiten', ' ', 'of', ' ', 'getroffen', ' ', 'maatregelen', ', ', 'of', ' ', 'om', ' ', 'gegevens', ' ', 'die', ' ', 'betrekking', ' ', 'hebben', ' ', 'op', ' ', 'de', ' ', 'staat', ' ', 'van', ' ', 'instandhouding', ' ', 'van', ' ', 'de', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'bedoelde', ' ', 'habitats', ' ', 'en', ' ', 'soorten', ' ', 'in', ' ', 'hun', ' ', 'provincie', ', ', 'verstrekken', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'van', ' ', 'de', ' ', 'desbetreffende', ' ', 'provincie', ' ', 'deze', ' ', 'aan', ' ', 'onze', ' ', 'minister', '.']"
31,"het planbureau voor de leefomgeving brengt eenmaal in de vier jaar aan onze minister een wetenschappelijk rapport uit, waarin de toestand en de verwachte ontwikkelingen ten aanzien van natuur, bos en landschap worden beschreven.","['het', ' ', 'planbureau', ' ', 'voor', ' ', 'de', ' ', 'leefomgeving', ' ', 'brengt', ' ', 'eenmaal', ' ', 'in', ' ', 'de', ' ', 'vier', ' ', 'jaar', ' ', 'aan', ' ', 'onze', ' ', 'minister', ' ', 'een', ' ', 'wetenschappelijk', ' ', 'rapport', ' ', 'uit', ', ', 'waarin', ' ', 'de', ' ', 'toestand', ' ', 'en', ' ', 'de', ' ', 'verwachte', ' ', 'ontwikkelingen', ' ', 'ten', ' ', 'aanzien', ' ', 'van', ' ', 'natuur', ', ', 'bos', ' ', 'en', ' ', 'landschap', ' ', 'worden', ' ', 'beschreven', '.']"
32,"het planbureau voor de leefomgeving brengt eenmaal in de twee jaar aan onze minister een wetenschappelijk rapport uit, waarin ten aanzien van natuur, bos en landschap, mede in het licht van in eerdere rapporten beschreven ontwikkelingen, de stand van zaken in de beleidsuitvoering, de voortgang en nieuwe ontwikkelingen worden beschreven.","['het', ' ', 'planbureau', ' ', 'voor', ' ', 'de', ' ', 'leefomgeving', ' ', 'brengt', ' ', 'eenmaal', ' ', 'in', ' ', 'de', ' ', 'twee', ' ', 'jaar', ' ', 'aan', ' ', 'onze', ' ', 'minister', ' ', 'een', ' ', 'wetenschappelijk', ' ', 'rapport', ' ', 'uit', ', ', 'waarin', ' ', 'ten', ' ', 'aanzien', ' ', 'van', ' ', 'natuur', ', ', 'bos', ' ', 'en', ' ', 'landschap', ', ', 'mede', ' ', 'in', ' ', 'het', ' ', 'licht', ' ', 'van', ' ', 'in', ' ', 'eerdere', ' ', 'rapporten', ' ', 'beschreven', ' ', 'ontwikkelingen', ', ', 'de', ' ', 'stand', ' ', 'van', ' ', 'zaken', ' ', 'in', ' ', 'de', ' ', 'beleidsuitvoering', ', ', 'de', ' ', 'voortgang', ' ', 'en', ' ', 'nieuwe', ' ', 'ontwikkelingen', ' ', 'worden', ' ', 'beschreven', '.']"
33,onze minister kan voor de toepassing van het eerste en tweede lid aanwijzingen geven ten aanzien van de termijn waarvoor de ontwikkelingen moeten worden beschreven en ten aanzien van veronderstelde ontwikkelingen die in elk geval moeten worden beschreven.,"['onze', ' ', 'minister', ' ', 'kan', ' ', 'voor', ' ', 'de', ' ', 'toepassing', ' ', 'van', ' ', 'het', ' ', 'eerste', ' ', 'en', ' ', 'tweede', ' ', 'lid', ' ', 'aanwijzingen', ' ', 'geven', ' ', 'ten', ' ', 'aanzien', ' ', 'van', ' ', 'de', ' ', 'termijn', ' ', 'waarvoor', ' ', 'de', ' ', 'ontwikkelingen', ' ', 'moeten', ' ', 'worden', ' ', 'beschreven', ' ', 'en', ' ', 'ten', ' ', 'aanzien', ' ', 'van', ' ', 'veronderstelde', ' ', 'ontwikkelingen', ' ', 'die', ' ', 'in', ' ', 'elk', ' ', 'geval', ' ', 'moeten', ' ', 'worden', ' ', 'beschreven', '.']"
34,"onze minister tezamen met onze minister van infrastructuur en milieu, ieder voor zover het hem aangaat, wijst overheidsinstellingen aan die door het planbureau voor de leefomgeving in elk geval worden betrokken bij de op te stellen rapporten. deze instellingen verschaffen elkaar de voor het opstellen van de rapporten benodigde gegevens.","['onze', ' ', 'minister', ' ', 'tezamen', ' ', 'met', ' ', 'onze', ' ', 'minister', ' ', 'van', ' ', 'infrastructuur', ' ', 'en', ' ', 'milieu', ', ', 'ieder', ' ', 'voor', ' ', 'zover', ' ', 'het', ' ', 'hem', ' ', 'aangaat', ', ', 'wijst', ' ', 'overheidsinstellingen', ' ', 'aan', ' ', 'die', ' ', 'door', ' ', 'het', ' ', 'planbureau', ' ', 'voor', ' ', 'de', ' ', 'leefomgeving', ' ', 'in', ' ', 'elk', ' ', 'geval', ' ', 'worden', ' ', 'betrokken', ' ', 'bij', ' ', 'de', ' ', 'op', ' ', 'te', ' ', 'stellen', ' ', 'rapporten', '. ', 'deze', ' ', 'instellingen', ' ', 'verschaffen', ' ', 'elkaar', ' ', 'de', ' ', 'voor', ' ', 'het', ' ', 'opstellen', ' ', 'van', ' ', 'de', ' ', 'rapporten', ' ', 'benodigde', ' ', 'gegevens', '.']"
35,"onze minister doet de rapporten, bedoeld in het eerste en tweede lid, toekomen aan de staten-generaal.","['onze', ' ', 'minister', ' ', 'doet', ' ', 'de', ' ', 'rapporten', ', ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'en', ' ', 'tweede', ' ', 'lid', ', ', 'toekomen', ' ', 'aan', ' ', 'de', ' ', 'staten', '-', 'generaal', '.']"
36,deze wet is gericht op:,"['deze', ' ', 'wet', ' ', 'is', ' ', 'gericht', ' ', 'op', ':']"
37,"een bestuursorgaan oefent zijn taken en bevoegdheden op grond van deze wet uit met het oog op de doelen, genoemd in het eerste lid, zoals nader bepaald bij of krachtens deze wet.","['een', ' ', 'bestuursorgaan', ' ', 'oefent', ' ', 'zijn', ' ', 'taken', ' ', 'en', ' ', 'bevoegdheden', ' ', 'op', ' ', 'grond', ' ', 'van', ' ', 'deze', ' ', 'wet', ' ', 'uit', ' ', 'met', ' ', 'het', ' ', 'oog', ' ', 'op', ' ', 'de', ' ', 'doelen', ', ', 'genoemd', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ', ', 'zoals', ' ', 'nader', ' ', 'bepaald', ' ', 'bij', ' ', 'of', ' ', 'krachtens', ' ', 'deze', ' ', 'wet', '.']"
38,"elk bestuursorgaan houdt bij het treffen van maatregelen op grond van deze wet rekening met de vereisten op economisch, sociaal en cultureel gebied, en met de regionale en lokale bijzonderheden, onverminderd de ","['elk', ' ', 'bestuursorgaan', ' ', 'houdt', ' ', 'bij', ' ', 'het', ' ', 'treffen', ' ', 'van', ' ', 'maatregelen', ' ', 'op', ' ', 'grond', ' ', 'van', ' ', 'deze', ' ', 'wet', ' ', 'rekening', ' ', 'met', ' ', 'de', ' ', 'vereisten', ' ', 'op', ' ', 'economisch', ', ', 'sociaal', ' ', 'en', ' ', 'cultureel', ' ', 'gebied', ', ', 'en', ' ', 'met', ' ', 'de', ' ', 'regionale', ' ', 'en', ' ', 'lokale', ' ', 'bijzonderheden', ', ', 'onverminderd', ' ', 'de', ' ']"
